date,added,removed
2012-10-02,GILD,ESRX
2012-10-03,ESRX,BA
2012-10-04,BA,GILD
2012-10-05,ABT,ESRX
2012-10-11,AIG,ABT
2012-10-15,ABT,AIG
2012-10-17,AIG,ABT
2012-10-24,GILD,MMM
2012-10-25,ESRX,GILD
2012-10-26,MMM,ESRX
2012-10-31,GILD,MMM
2012-11-01,MMM,GILD
2012-11-02,GILD,AIG
2012-11-05,ESRX,GILD
2012-11-06,GILD,ESRX
2013-01-02,AIG,BMY
2013-01-03,ABBV|BMY,AIG|UNH
2013-01-10,F,ABBV
2013-01-16,ABBV,F
2013-01-22,UNH,BA
2013-01-24,BA,UNH
2013-01-28,UNH,BA
2013-01-31,BA,UNH
2013-02-01,AIG,BA
2013-02-04,BA,AIG
2013-02-05,UNH,BA
2013-02-07,BA,UNH
2013-02-08,UNH,ABBV
2013-02-11,AIG,BA
2013-02-12,BA,AIG
2013-02-13,AIG,BA
2013-02-14,ABBV,UNH
2013-02-15,UNH,AIG
2013-02-20,BA,UNH
2013-03-27,UNH,CAT
2013-04-23,AIG,UNH
2013-04-26,UNH,MMM
2013-05-01,MMM,UNH
2013-05-08,UNH,LLY
2013-05-09,LLY,USB
2013-05-14,USB,UNH
2013-05-17,UNH,LLY
2013-07-02,F,MMM
2013-07-31,MMM,F
2013-08-01,F,MMM
2013-08-07,MMM,F
2013-08-12,F,MMM
2013-08-13,MMM,F
2013-08-29,F,MMM
2013-08-30,MMM,F
2013-09-03,F,MMM
2013-09-11,MMM,USB
2013-09-12,USB,MMM
2013-09-19,MMM,USB
2013-09-20,USB,MMM
2013-09-23,MMM,F
2013-09-24,F,USB
2013-09-30,MAC,F
2013-10-01,F,MMM
2013-10-07,MMM,F
2013-10-10,USB,MMM
2013-10-11,MMM,USB
2013-10-15,USB,MMM
2013-10-16,F,USB
2013-10-18,USB,UNH
2013-10-24,MMM,USB
2013-10-30,USB,F
2013-11-06,UNH,USB
2013-12-02,USB,MMM
2013-12-03,MMM,USB
2013-12-04,USB,MMM
2013-12-05,MMM,USB
2013-12-06,USB,OXY
2013-12-12,OXY,UNH
2013-12-16,UNH,OXY
2013-12-31,OXY,MAC
2014-01-14,BIIB,OXY
2014-01-16,OXY,BIIB
2014-01-17,BIIB,OXY
2014-02-10,HON,UNH
2014-02-12,OXY,MO
2014-02-14,UNH,HON
2014-03-03,MO,AIG
2014-03-05,AIG,MO
2014-03-06,MO,OXY
2014-03-07,OXY,MO
2014-03-13,MO,AIG
2014-03-19,AIG,MO
2014-03-20,MO,OXY
2014-03-28,OXY,BIIB
2014-03-31,BIIB,OXY
2014-04-03,OXY,BIIB
2014-04-04,GOOG,OXY
2014-04-21,OXY,GS
2014-04-22,GS,OXY
2014-04-28,OXY,GS
2014-04-29,GS,OXY
2014-05-06,OXY,GS
2014-05-08,GS,OXY
2014-05-14,OXY,USB
2014-05-15,USB,GS
2014-05-16,GS,OXY
2014-05-29,BIIB,GS
2014-06-03,OXY,BIIB
2014-06-04,BIIB,OXY
2014-06-05,OXY,BIIB
2014-06-06,GS,OXY
2014-06-13,OXY,GS
2014-06-16,GS,UNH
2014-06-19,UNH,OXY
2014-06-23,OXY,MMM
2014-06-24,MMM,OXY
2014-06-30,OXY,GS
2014-07-01,BIIB,OXY
2014-07-08,OXY,BIIB
2014-07-10,BIIB,OXY
2014-07-14,GS,BIIB
2014-07-23,BIIB,USB
2014-07-29,USB,AIG
2014-08-04,OXY,USB
2014-08-05,AIG,OXY
2014-09-15,USB,BIIB
2014-09-16,BIIB,USB
2014-09-26,NKE,MMM
2014-10-03,CELG,AIG
2014-10-13,AIG|USB,BIIB|CELG
2014-10-14,MMM,USB
2014-10-15,BIIB,AIG
2014-10-17,AIG,BIIB
2014-10-20,CELG,AIG
2014-10-21,BIIB,MMM
2014-10-22,MMM,BIIB
2014-12-08,USB,COP
2014-12-09,BIIB,USB
2014-12-16,COP,BIIB
2014-12-19,BIIB,NKE
2014-12-23,NKE,BIIB
2015-01-06,BIIB,COP
2015-01-09,COP,BIIB
2015-01-12,BIIB,COP
2015-01-23,MDT,GS
2015-02-02,COP,NKE
2015-02-11,GS,COP
2015-02-12,COP,AXP
2015-02-24,WBA,COP
2015-02-25,COP,WBA
2015-02-26,WBA,COP
2015-03-26,NKE,GS
2015-03-30,GS,NKE
2015-03-31,NKE,GS
2015-04-01,GS,NKE
2015-04-23,NKE,MMM
2015-06-09,LLY,NKE
2015-06-10,NKE,UNP
2015-06-18,UNP,LLY
2015-06-24,LLY,UNP
2015-06-30,RAI,UPS
2015-07-24,KHC,BIIB
2015-07-28,UPS,KHC
2015-08-03,KHC,LLY
2015-08-04,LLY,KHC
2015-08-06,KHC,LLY
2015-08-10,LLY,KHC
2015-08-26,KHC,GS
2015-08-27,GS,KHC
2015-09-01,SBUX,RAI
2015-09-08,KHC,SBUX
2015-09-09,SBUX,KHC
2015-09-14,KHC,GS
2015-10-22,UNP,ABBV
2015-10-26,ABBV,UNP
2015-11-05,GS,QCOM
2015-12-08,AIG,GS
2015-12-10,MMM,AIG
2015-12-15,GS,MMM
2015-12-29,AIG,GS
2016-02-05,MMM,CELG
2016-02-09,CELG,LLY
2016-02-10,LLY,BA
2016-02-12,HON,LLY
2016-02-16,LLY,HON
2016-02-19,HON,LLY
2016-02-22,LLY,HON
2016-02-29,BA,LLY
2016-03-03,HON,BA
2016-03-04,BA,HON
2016-03-09,HON,AIG
2016-03-10,AIG,CELG
2016-03-31,CELG,AIG
2016-04-25,LLY,HON
2016-04-26,HON,LLY
2016-05-03,LLY,CELG
2016-05-20,QCOM,LLY
2016-05-25,CELG,SBUX
2016-05-31,SBUX,BA
2016-06-02,BA,SBUX
2016-06-06,SBUX,QCOM
2016-06-15,QCOM,CELG
2016-06-24,LLY,QCOM
2016-07-06,CELG,BA
2016-07-11,BA,CELG
2016-07-21,QCOM,BA
2016-07-27,BA,HON
2016-07-28,CELG,BA
2016-08-01,HON,SBUX
2016-08-18,BA,HON
2016-08-19,HON,LLY
2016-08-23,LLY,BA
2016-08-24,SBUX,LLY
2016-08-29,LLY,SBUX
2016-08-30,SBUX,LLY
2016-08-31,LLY,SBUX
2016-09-01,SBUX,LLY
2016-09-06,BA|LLY,CELG|SBUX
2016-09-07,CELG,BA
2016-09-08,BA,HON
2016-09-09,HON,BA
2016-09-28,BA,CELG
2016-10-07,CELG,HON
2016-10-11,UNP,CELG
2016-10-14,HON,UNP
2016-10-17,UNP,HON
2016-10-20,HON,UNP
2016-10-27,CELG,HON
2016-10-31,HON,CELG
2016-11-01,CELG,HON
2016-11-08,HON,CVS
2016-11-10,GS,HON
2016-11-23,SBUX,LLY
2016-11-25,USB,SBUX
2016-11-28,SBUX,USB
2016-11-30,USB,NKE
2016-12-02,UNP,SBUX
2016-12-05,NKE,UNP
2016-12-06,CVS,NKE
2016-12-07,UNP,CVS
2016-12-12,HON,UNP
2016-12-13,NKE,HON
2016-12-15,UNP,NKE
2016-12-16,HON,UNP
2016-12-21,NKE,HON
2016-12-23,UNP,NKE
2017-01-03,NKE,UNP
2017-01-17,CVS,USB
2017-01-18,HON,CVS
2017-01-19,UNP,HON
2017-01-20,USB,BMY
2017-01-23,HON,QCOM
2017-01-26,CHTR,HON
2017-02-03,HON,NKE
2017-02-06,NKE,CHTR
2017-02-08,CHTR,UNP
2017-02-09,UNP,GILD
2017-02-13,GILD,CHTR
2017-02-14,BMY,GILD
2017-02-15,GILD,UNP
2017-03-09,AVGO,GILD
2017-03-16,LLY,AVGO
2017-03-17,GILD,LLY
2017-03-22,LLY,GILD
2017-03-24,RAI,LLY
2017-03-27,LLY,USB
2017-03-31,GILD,LLY
2017-04-03,LLY,GILD
2017-04-05,AVGO|CHTR,BMY|WBA
2017-04-06,WBA,AVGO
2017-04-07,AVGO,CHTR
2017-04-12,CHTR,AVGO
2017-04-17,BMY|GILD,CHTR|LLY
2017-04-18,BKNG,GILD
2017-04-19,CHTR,BKNG
2017-04-20,AVGO,BMY
2017-04-21,BMY,AVGO
2017-04-24,AVGO,BMY
2017-04-27,BMY,AVGO
2017-05-01,BKNG,NKE
2017-05-02,AVGO,CHTR
2017-05-10,NKE,BKNG
2017-05-12,BKNG,NKE
2017-05-15,UNP,BKNG
2017-05-16,BKNG,UNP
2017-05-19,SBUX,WBA
2017-05-26,UNP,BMY
2017-05-30,CHTR,GS
2017-05-31,BMY,UNP
2017-06-05,UNP,BMY
2017-06-06,NVDA,UNP
2017-06-09,GS,CHTR
2017-06-12,BMY|CHTR,BKNG|SBUX
2017-06-13,BKNG,BMY
2017-06-14,BMY,CHTR
2017-06-15,CHTR,BKNG
2017-06-16,UNP,BMY
2017-06-19,BKNG|BMY,CHTR|UNP
2017-06-22,GILD,GS
2017-06-27,GS,NVDA
2017-06-28,NVDA,SLB
2017-06-29,SLB,NVDA
2017-06-30,NKE,GS
2017-07-03,GS,BKNG
2017-07-05,BKNG,GS
2017-07-06,GS,SLB
2017-07-07,SLB,GS
2017-07-10,NVDA,GILD
2017-07-12,GILD,BMY
2017-07-25,BMY,RAI
2017-07-27,CHTR,BMY
2017-08-07,GS,SLB
2017-08-08,BMY,GS
2017-08-21,GS,NKE
2017-08-25,SLB,BKNG
2017-08-28,NKE,GS
2017-08-29,BKNG|LMT,NKE|SLB
2017-08-30,GS,LMT
2017-09-05,SLB,GS
2017-09-08,ABT,SLB
2017-09-12,SLB,ABT
2017-09-19,GS,BKNG
2017-09-21,UNP,CHTR
2017-09-26,ABT,GS
2017-09-27,GS,ABT
2017-09-28,ABT,UNP
2017-10-12,BKNG,SLB
2017-10-13,SLB,GS
2017-10-16,GS,SLB
2017-10-17,TXN,GS
2017-10-18,GS,TXN
2017-10-20,TXN,KHC
2017-10-24,KHC,CELG
2017-11-06,SLB,BKNG
2017-11-07,QCOM,SLB
2017-11-16,PYPL,GS
2017-11-17,NKE,PYPL
2017-11-21,PYPL,GE
2017-11-22,GE,PYPL
2017-11-29,UNP,TXN
2017-11-30,GS,GE
2017-12-06,TXN,ABT
2017-12-07,ABT,GILD
2017-12-08,GILD,QCOM
2017-12-11,QCOM,KHC
2017-12-12,KHC,QCOM
2017-12-14,QCOM,ABT
2017-12-15,ABT,QCOM
2017-12-20,QCOM,KHC
2017-12-21,ACN,QCOM
2017-12-22,KHC|QCOM,ACN|GILD
2017-12-27,GILD,KHC
2017-12-28,KHC,GILD
2018-01-02,GILD,KHC
2018-01-03,SLB,GILD
2018-01-08,CAT,GS
2018-01-09,GILD,QCOM
2018-01-16,QCOM,BMY
2018-01-17,BMY,CAT
2018-01-18,CAT,QCOM
2018-01-23,NFLX,CAT
2018-01-25,GS,AVGO
2018-02-02,LMT,UNP
2018-02-05,UNP,LMT
2018-02-06,AVGO,UPS
2018-02-07,LMT,SLB
2018-02-23,ADBE,LMT
2018-02-28,ACN,UNP
2018-03-06,UNP,ACN
2018-03-07,BKNG,UNP
2018-03-09,UNP,BKNG
2018-03-12,BKNG,GILD
2018-03-13,GILD,GS
2018-03-15,ACN,GILD
2018-03-16,GILD,ACN
2018-03-19,ACN,GILD
2018-03-20,GS,AVGO
2018-03-21,AVGO,GS
2018-03-22,GILD,ACN
2018-03-23,LMT,GILD
2018-03-26,GS,LMT
2018-03-27,GILD,GS
2018-04-02,GS,GILD
2018-04-12,GILD,BMY
2018-04-13,LMT,GILD
2018-04-17,ACN,GS
2018-04-20,GS,ACN
2018-04-23,ACN|GILD,GS|TXN
2018-04-24,TXN,GILD
2018-04-25,SLB,LMT
2018-04-26,UPS,SLB
2018-05-09,SLB,UPS
2018-05-10,UPS,SLB
2018-05-15,SLB,ACN
2018-05-18,ACN,MMM
2018-05-21,MMM,BKNG
2018-05-22,BKNG,MMM
2018-05-24,MMM,SLB
2018-06-01,PYPL,MMM
2018-06-06,CRM,PYPL
2018-06-07,MMM,CRM
2018-06-12,CRM,MMM
2018-06-13,MMM,BKNG
2018-06-14,BKNG|PYPL,MMM|UPS
2018-06-15,MMM,PYPL
2018-06-18,PYPL,MMM
2018-06-27,MMM,PYPL
2018-06-28,PYPL,MMM
2018-07-09,GILD,BKNG
2018-07-12,MMM,AVGO
2018-07-23,UPS,MMM
2018-07-24,MMM,UPS
2018-07-25,UPS,MMM
2018-07-26,MMM,GILD
2018-07-30,LLY,PYPL
2018-07-31,GILD,LLY
2018-08-02,LLY|PYPL,GILD|MMM
2018-08-03,MMM,PYPL
2018-08-06,PYPL,MMM
2018-08-07,MMM,PYPL
2018-08-08,PYPL,MMM
2018-09-07,COST,PYPL
2018-09-10,PYPL,TXN
2018-09-13,QCOM,UPS
2018-09-14,UPS,COST
2018-09-18,MMM,UPS
2018-09-21,TXN,QCOM
2018-10-01,COST,TXN
2018-10-02,TXN,PYPL
2018-10-03,AVGO,COST
2018-10-04,BMY,TXN
2018-10-05,UPS,AVGO
2018-10-11,COST,BMY
2018-10-12,TXN,MMM
2018-10-15,MMM,TXN
2018-10-16,GILD,MMM
2018-10-17,MMM,GILD
2018-10-19,PYPL,MMM
2018-10-26,TMO,UPS
2018-11-01,AVGO,TMO
2018-11-02,TMO,AVGO
2018-11-08,MMM,TMO
2018-11-09,TMO,MMM
2018-11-12,MMM,TMO
2018-11-19,TMO|UPS,CRM|NVDA
2018-11-20,CRM,PYPL
2018-11-27,PYPL,UPS
2018-12-03,NVDA,TMO
2018-12-04,TMO,NVDA
2018-12-10,AVGO,TMO
2018-12-14,TMO,COST
2018-12-26,TXN,TMO
2018-12-28,TMO,ACN
2018-12-31,ACN|COST,TMO|TXN
2019-01-08,TMO,COST
2019-01-10,COST,MO
2019-01-15,TXN,MMM
2019-01-16,MMM,TXN
2019-01-18,NVDA,COST
2019-01-22,COST,NVDA
2019-01-24,NVDA|TXN,COST|MMM
2019-01-28,MMM,NVDA
2019-03-05,MO,MMM
2019-03-08,COST,TXN
2019-03-15,TXN,COST
2019-03-18,COST,TXN
2019-03-19,NVDA,COST
2019-04-03,COST,MO
2019-04-11,TXN,COST
2019-04-15,COST,TXN
2019-04-16,TXN,TMO
2019-04-26,TMO,COST
2019-04-30,COST,LLY
2019-05-01,LLY,COST
2019-05-03,QCOM,AMGN
2019-05-06,AMGN|COST,LLY|QCOM
2019-05-07,LLY,NVDA
2019-05-08,NVDA,AMGN
2019-05-09,AMGN,NVDA
2019-05-10,QCOM,AMGN
2019-05-13,AMGN,TXN
2019-05-14,TXN,AMGN
2019-05-16,AMGN,QCOM
2019-05-17,LIN,TXN
2019-06-10,TXN,LLY
2019-06-12,LLY,TXN
2019-06-13,TXN,LLY
2019-06-14,LLY,TXN
2019-06-25,TXN,ABBV
2019-06-26,AXP,LLY
2019-06-27,ABBV,AXP
2019-07-11,SBUX,ABBV
2019-07-12,AXP,AMGN
2019-07-16,AMGN,AXP
2019-07-23,NVDA,AMGN
2019-07-31,AMGN,NVDA
2019-08-02,LLY,LIN
2019-08-05,LIN,LLY
2019-08-06,LMT,LIN
2019-08-14,NEE,LMT
2019-08-16,LMT,NEE
2019-08-23,NEE,LMT
2019-08-28,LMT,NEE
2019-09-03,NEE,LMT
2019-09-04,LMT,NEE
2019-09-05,NVDA,LMT
2019-09-10,LMT,SBUX
2019-09-11,SBUX,LMT
2019-09-13,LMT,SBUX
2019-09-19,NEE,NVDA
2019-09-27,ABBV,AVGO
2019-10-01,AVGO,UNP
2019-10-03,NVDA,LMT
2019-10-08,LMT,AVGO
2019-10-09,AVGO,LMT
2019-10-11,UNP,ABBV
2019-10-18,ABBV,UNP
2019-10-21,UNP,IBM
2019-10-22,IBM,TMO
2019-10-23,TMO,TXN
2019-11-04,TXN,NEE
2019-11-11,BMY,TXN
2019-11-14,NEE,BMY
2019-11-27,TXN,IBM
2019-11-29,IBM,TXN
2019-12-03,LLY,IBM
2019-12-06,BMY,LLY
2019-12-09,LLY,NEE
2019-12-12,TXN,LLY
2019-12-17,LLY,TXN
2019-12-31,TXN,LLY
2020-01-03,LLY,TXN
2020-01-07,TXN,LLY
2020-01-08,LLY,TXN
2020-01-09,TXN,AVGO
2020-01-14,AVGO,TXN
2020-01-15,NEE,AVGO
2020-01-22,AVGO,UNP
2020-01-23,UNP,ABBV
2020-01-27,ABBV,UNP
2020-01-29,UNP,ABBV
2020-01-31,IBM,AVGO
2020-02-03,AVGO,HON
2020-02-05,ABBV,UNP
2020-02-10,UNP,AVGO
2020-02-11,AVGO,UNP
2020-02-14,HON,AVGO
2020-03-02,AVGO,IBM
2020-03-05,IBM,AVGO
2020-03-06,AMT,IBM
2020-03-12,TXN,BA
2020-03-16,GILD,C
2020-03-18,LMT,HON
2020-03-23,IBM|LIN,AMT|LMT
2020-03-24,UNP,LIN
2020-03-25,HON|LMT,GILD|IBM
2020-03-26,AMT|BA,HON|UNP
2020-03-27,UNP,BA
2020-03-30,AVGO,TXN
2020-03-31,TMUS,LMT
2020-04-01,LMT,AVGO
2020-04-02,GILD,UNP
2020-04-06,AVGO,GILD
2020-04-08,UNP,LMT
2020-04-09,IBM|LMT,AVGO|UNP
2020-04-13,AVGO,IBM
2020-04-21,CHTR,AVGO
2020-04-22,AVGO,CHTR
2020-04-27,UNP,LMT
2020-04-28,LMT,AVGO
2020-04-29,AVGO|TXN,AMT|LMT
2020-04-30,LMT,TXN
2020-05-01,CHTR,AVGO
2020-05-04,AVGO,UNP
2020-05-05,AMT,CHTR
2020-05-07,CHTR|UNP,AMT|WFC
2020-05-11,AMT,CHTR
2020-05-12,CHTR,AMT
2020-05-13,AMT,LMT
2020-05-15,DHR,AMT
2020-05-18,LMT,DHR
2020-05-20,TXN,LMT
2020-05-22,AMT,TXN
2020-05-26,WFC,CHTR
2020-05-29,CHTR,WFC
2020-06-02,WFC,CHTR
2020-06-03,TXN,PM
2020-06-04,PM,AMT
2020-06-05,C,PM
2020-06-08,BA,TXN
2020-06-09,TXN,UNP
2020-06-10,AMT|UNP,BA|C
2020-06-11,PM,WFC
2020-06-12,WFC,PM
2020-06-16,PM,TXN
2020-06-17,TXN,WFC
2020-06-19,WFC,PM
2020-06-24,PM,WFC
2020-06-25,WFC,PM
2020-06-26,LIN,WFC
2020-07-07,DHR,UNP
2020-07-13,PM,AMT
2020-07-14,UNP,PM
2020-07-23,PM,UNP
2020-07-24,UNP,TXN
2020-07-27,TXN,UNP
2020-07-30,QCOM|UPS,PM|TXN
2020-07-31,PM,QCOM
2020-08-03,QCOM,PM
2020-08-07,UNP,QCOM
2020-08-12,QCOM,UNP
2020-08-14,UNP,QCOM
2020-08-21,TXN,LIN
2020-08-24,LIN|QCOM,DHR|TXN
2020-08-26,DHR,QCOM
2020-08-27,QCOM,DHR
2020-08-31,TXN,UNP
2020-09-04,UNP,TXN
2020-09-08,TXN,QCOM
2020-09-09,QCOM,TXN
2020-09-10,DHR,QCOM
2020-09-15,QCOM,DHR
2020-09-16,DHR,QCOM
2020-09-21,QCOM,LIN
2020-09-23,CHTR,QCOM
2020-09-24,QCOM,CHTR
2020-10-01,TXN,UNP
2020-10-02,UNP,TXN
2020-10-06,TXN,BMY
2020-10-07,BMY,TXN
2020-10-09,TXN,AMGN
2020-10-12,AMGN,UNP
2020-10-13,UNP,LLY
2020-10-22,LOW,UNP
2020-10-26,LLY,LOW
2020-10-27,LOW,LLY
2020-10-30,UNP,LOW
2020-11-02,HON,UNP
2020-11-04,LLY,HON
2020-11-06,LIN,LLY
2020-11-09,HON,LIN
2020-11-16,UNP,AMGN
2020-12-03,BA,UNP
2020-12-04,UNP,BA
2020-12-09,LLY,BMY
2020-12-11,BMY,UNP
2020-12-22,TSLA,BMY
2020-12-30,BMY,DHR
2020-12-31,DHR,BMY
2021-01-06,LIN,UPS
2021-01-07,UNP,LIN
2021-01-11,BMY,HON
2021-01-14,HON,UNP
2021-01-15,UNP,HON
2021-01-19,HON,UNP
2021-01-20,UNP,HON
2021-01-21,AMGN,UNP
2021-01-27,HON,BMY
2021-01-29,BMY,HON
2021-02-02,UPS,AMGN
2021-02-04,HON,BMY
2021-02-12,UNP,HON
2021-02-16,WFC,UPS
2021-02-18,HON,UNP
2021-02-24,MS,DHR
2021-02-26,DHR,MS
2021-03-01,C,DHR
2021-03-02,MS,C
2021-03-03,C,NEE
2021-03-05,UPS,COST
2021-03-08,UNP,QCOM
2021-03-09,NEE|QCOM,UNP|UPS
2021-03-11,BA,NEE
2021-03-12,NEE,QCOM
2021-03-15,QCOM,NEE
2021-03-16,NEE,HON
2021-03-17,HON,NEE
2021-03-22,COST,BA
2021-03-23,NEE,MS
2021-03-25,BA|UNP,NEE|QCOM
2021-03-26,QCOM,BA
2021-03-30,BA,QCOM
2021-03-31,QCOM,UNP
2021-04-01,UPS,BA
2021-04-05,BA|NEE,C|UPS
2021-04-06,UPS,BA
2021-04-19,DHR,QCOM
2021-04-21,QCOM,NEE
2021-04-22,NEE,QCOM
2021-04-26,QCOM,NEE
2021-05-05,MS,QCOM
2021-05-11,LIN,MS
2021-05-12,C,LIN
2021-05-14,MS,C
2021-05-17,C,HON
2021-05-28,HON,T
2021-06-01,T,DHR
2021-06-11,DHR,HON
2021-06-14,PM,C
2021-06-24,QCOM,PM
2021-07-08,PM,T
2021-07-09,HON,PM
2021-07-19,PM,HON
2021-07-20,HON,PM
2021-08-04,MRNA,HON
2021-08-11,HON,MRNA
2021-08-12,NEE,HON
2021-08-18,MRNA,QCOM
2021-08-19,LIN,MRNA
2021-08-23,MRNA,LIN
2021-08-24,QCOM,MRNA
2021-08-26,MRNA,QCOM
2021-08-27,QCOM,MRNA
2021-09-02,PM,QCOM
2021-09-03,MRNA,PM
2021-09-15,LIN,TMUS
2021-09-17,TMUS,LIN
2021-09-20,PM,TMUS
2021-09-21,LIN,PM
2021-09-22,TMUS,LIN
2021-09-23,LIN,NEE
2021-09-27,PM,LIN
2021-09-28,LIN,PM
2021-09-29,PM,MRNA
2021-09-30,MRNA|NEE,LIN|PM
2021-10-01,LIN,MRNA
2021-10-11,HON,TMUS
2021-10-12,PM,HON
2021-10-18,INTU,PM
2021-11-04,QCOM,MDT
2021-11-08,AMD,NEE
2021-11-15,NEE,LIN
