date,added,removed
2010-01-04,AAPL|ABT|AMGN|AMZN|AXP|BA|BAC|BMY|C|CL|CMCSA|COP|CSCO|CVS|CVX|DIS|ESRX|GE|GOOGL|GS|HD|HPQ|IBM|INTC|JNJ|JPM|KO|MCD|MDT|MMM|MO|MRK|MS|MSFT|ORCL|OXY|PEP|PFE|PG|PM|QCOM|SLB|T|UPS|USB|V|VZ|WFC|WMT|XOM,
2010-01-06,GILD,ABT
2010-01-08,ABT,GILD
2010-01-11,F,CL
2010-01-12,GILD,F
2010-01-19,LLY,MS
2010-01-22,CL,V
2010-02-01,V,LLY
2010-03-01,F,ABT
2010-04-01,CAT,GILD
2010-04-08,TGT,CAT
2010-04-12,CAT,TGT
2010-04-13,TGT,CAT
2010-04-14,CAT,TGT
2010-04-22,MS|TGT,BMY|CL
2010-04-23,BMY,MS
2010-04-27,CL,BMY
2010-04-29,BMY,CL
2010-05-03,CL,TGT
2010-05-06,TGT,CAT
2010-05-10,CAT,TGT
2010-05-12,TGT,CL
2010-05-13,CL,TGT
2010-05-17,TGT,CAT
2010-05-18,CAT,F
2010-05-19,F,CAT
2010-05-20,CAT,F
2010-05-21,F,CAT
2010-06-08,LLY,ESRX
2010-06-10,CAT,LLY
2010-06-23,LLY,F
2010-07-01,F,TGT
2010-07-02,TGT,F
2010-07-08,F,TGT
2010-08-02,EMR,CL
2010-08-04,MS,EMR
2010-08-09,UNP,MS
2010-08-11,ABT,UNP
2010-08-12,CL,ABT
2010-08-16,ABT,CL
2010-08-18,UNP,ABT
2010-08-19,CL,UNP
2010-08-20,TGT,CL
2010-08-24,CL,MDT
2010-08-25,ABT,CL
2010-09-01,UNP,ABT
2010-09-07,EMR,TGT
2010-09-10,ABT|TGT,EMR|HPQ
2010-09-13,FCX|MS,ABT|TGT
2010-09-14,HPQ|TGT,FCX|MS
2010-09-17,EMR,TGT
2010-09-20,FCX,HPQ
2010-09-21,HPQ,FCX
2010-09-22,FCX|UNH,EMR|HPQ
2010-09-23,HPQ,UNH
2010-09-24,EMR,LLY
2010-09-28,LLY,EMR
2010-10-01,EMR,UNP
2010-10-06,UNP,EMR
2010-10-20,EMR,LLY
2010-11-10,APA,EMR
2010-11-11,EMR,CVS
2010-11-16,CVS,APA
2010-11-18,APA,HPQ
2010-11-19,HPQ,APA
2010-12-01,APA,EMR
2010-12-02,EMR,HPQ
2010-12-21,NKE,EMR
2010-12-22,EMR,NKE
2010-12-31,AIG,EMR
2011-01-06,HPQ,BMY
2011-01-27,UNH,APA
2011-01-31,APA,UNH
2011-02-03,UNH,CVS
2011-02-04,EMR,APA
2011-02-07,MET,UNH
2011-02-09,CVS,MET
2011-02-10,UNH,CVS
2011-02-11,APA,UNH
2011-02-18,UNH,APA
2011-02-23,APA,HPQ
2011-02-28,CVS,EMR
2011-03-04,BMY,CVS
2011-03-08,CVS,BMY
2011-03-10,BMY,APA
2011-03-11,APA,BMY
2011-03-25,BMY,CVS
2011-03-29,CVS,BMY
2011-04-08,BMY,UNP
2011-04-12,UNP,BMY
2011-04-14,BMY,APA
2011-04-20,APA,UNP
2011-04-25,UNP,APA
2011-04-26,APA,BMY
2011-05-04,BMY,FCX
2011-05-05,FCX,APA
2011-05-06,APA,FCX
2011-05-09,FCX,USB
2011-05-10,USB,FCX
2011-05-26,FCX,APA
2011-07-07,HAL,USB
2011-07-20,USB,UNP
2011-07-21,UNP,BMY
2011-07-22,BMY,CVS
2011-07-27,CVS,F
2011-08-08,CL,HAL
2011-08-09,F,CL
2011-08-10,HAL,F
2011-08-12,F,HAL
2011-08-15,HAL,F
2011-08-16,F|MA,HAL|USB
2011-08-17,USB,MA
2011-08-18,CL,F
2011-08-22,LLY,USB
2011-08-23,MA|USB,FCX|LLY
2011-08-25,FCX,MA
2011-09-06,MA,USB
2011-09-07,USB,FCX
2011-09-21,LLY,UNP
2011-09-23,NKE,LLY
2011-09-28,LLY,NKE
2011-10-03,MDLZ,AIG
2011-10-04,NKE|UNP,MA|MDLZ
2011-10-06,F,NKE
2011-10-12,AIG,LLY
2011-10-13,MA,AIG
2011-10-19,LLY,MA
2011-10-21,AIG,LLY
2011-10-27,MA,CL
2011-10-31,NKE,MA
2011-11-01,CL,F
2011-11-02,MA,CL
2011-11-08,F,NKE
2011-11-09,CL|NKE,AIG|F
2011-11-11,AIG,CL
2011-11-15,CL,AIG
2011-12-06,AIG,CL
2011-12-07,CL,NKE
2011-12-08,NKE,AIG
2011-12-09,AIG,CL
2011-12-12,CL,AIG
2011-12-13,LLY,CL
2011-12-14,CL,NKE
2012-01-03,AIG,CL
2012-01-04,NKE,AIG
2012-01-05,AIG,MA
2012-01-06,F,AIG
2012-01-09,AIG,LLY
2012-01-10,LLY,F
2012-01-11,F,LLY
2012-02-02,MA,F
2012-02-03,F,NKE
2012-02-09,NKE,F
2012-06-04,CL,GS
2012-06-06,GS,CL
2012-06-08,CL,GS
2012-06-13,LLY,NKE
2012-06-14,GS,LLY
2012-06-18,ABT,GS
2012-06-19,GS,ABT
2012-06-22,LLY,GS
2012-06-25,ABT,LLY
2012-07-20,LLY,ABT
2012-07-23,ABT,CL
2012-07-24,CL,LLY
2012-08-07,GS,CL
2012-08-08,CL,ABT
2012-08-09,ESRX,CL
2012-08-13,CL,ESRX
2012-08-15,ABT,CL
2012-08-16,CL,ABT
2012-08-23,ESRX,CL
2012-08-24,CL,ESRX
2012-08-27,ESRX,CL
2012-08-28,CL,ESRX
2012-08-29,LLY,CL
2012-08-31,ESRX,LLY
2012-09-05,LLY,ESRX
2012-09-20,ABT,LLY
2012-09-21,LLY,ABT
2012-09-25,ABT,BA
2012-09-26,BA,ABT
2012-10-01,ESRX,AIG
