date,tickers
2010-01-26,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,IBM,JPM,CVX,PFE,WFC,BAC,CSCO,KO,ORCL,MRK,T,INTC,GE,PEP,C,GS,PM,VZ,SLB,QCOM,MCD,OXY,UPS,COP,DIS,AMGN,HPQ,AMZN,MMM,MDT,ESRX,HD,USB,CVS,AXP,CMCSA,BA,BMY,MO,GILD,ABT,LLY,CL"
2010-01-27,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,IBM,JPM,CVX,WFC,PFE,BAC,CSCO,KO,ORCL,MRK,T,INTC,GE,PEP,C,GS,PM,VZ,SLB,QCOM,MCD,OXY,UPS,COP,DIS,AMGN,AMZN,HPQ,MMM,MDT,USB,ESRX,HD,AXP,BA,CVS,CMCSA,GILD,BMY,MO,LLY,ABT,CL"
2010-01-28,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,WFC,CVX,PFE,BAC,CSCO,KO,ORCL,T,MRK,INTC,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,UPS,AMGN,DIS,AMZN,COP,HPQ,MMM,USB,MDT,ESRX,BA,HD,CVS,AXP,CMCSA,GILD,MO,BMY,ABT,CL,LLY"
2010-01-29,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,WFC,CVX,PFE,BAC,CSCO,KO,ORCL,MRK,T,INTC,GE,C,PEP,GS,PM,VZ,SLB,MCD,QCOM,OXY,UPS,AMGN,DIS,AMZN,COP,HPQ,MMM,USB,MDT,HD,ESRX,CMCSA,CVS,AXP,BA,GILD,BMY,MO,CL,ABT,LLY"
2010-02-01,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,WFC,CVX,PFE,BAC,CSCO,KO,ORCL,MRK,T,INTC,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,UPS,AMGN,DIS,COP,AMZN,HPQ,USB,MMM,HD,MDT,ESRX,CVS,BA,AXP,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-02,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,WFC,CVX,PFE,BAC,CSCO,KO,ORCL,MRK,T,INTC,GE,C,PEP,GS,PM,SLB,VZ,MCD,QCOM,OXY,UPS,AMGN,DIS,COP,AMZN,HPQ,MDT,HD,MMM,ESRX,USB,CVS,AXP,CMCSA,BA,GILD,BMY,MO,ABT,CL,V"
2010-02-03,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,WFC,CVX,BAC,PFE,CSCO,KO,ORCL,MRK,T,INTC,GE,PEP,C,GS,PM,SLB,VZ,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,AMZN,HPQ,MMM,MDT,HD,ESRX,USB,AXP,CMCSA,BA,CVS,GILD,BMY,MO,ABT,CL,V"
2010-02-04,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,IBM,JPM,CVX,WFC,PFE,BAC,CSCO,KO,ORCL,T,MRK,INTC,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,AMZN,HPQ,MMM,HD,MDT,ESRX,USB,AXP,CMCSA,BA,CVS,GILD,BMY,MO,ABT,CL,V"
2010-02-05,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,IBM,JPM,WFC,CVX,BAC,PFE,CSCO,KO,ORCL,T,MRK,INTC,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,AMZN,HPQ,HD,MMM,ESRX,MDT,USB,AXP,CMCSA,CVS,BA,GILD,BMY,MO,ABT,CL,V"
2010-02-08,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,IBM,JPM,CVX,WFC,PFE,CSCO,BAC,KO,ORCL,T,MRK,INTC,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,AMGN,UPS,COP,AMZN,HPQ,HD,ESRX,MMM,MDT,CVS,USB,AXP,CMCSA,BA,GILD,BMY,MO,ABT,V,CL"
2010-02-09,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,IBM,JPM,CVX,WFC,CSCO,PFE,BAC,KO,ORCL,T,INTC,MRK,GE,PEP,C,GS,PM,SLB,VZ,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,AMZN,HPQ,HD,ESRX,MMM,MDT,CVS,USB,AXP,BA,CMCSA,GILD,BMY,MO,CL,ABT,V"
2010-02-10,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,WFC,CSCO,PFE,BAC,KO,ORCL,T,INTC,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,AMZN,HPQ,HD,MMM,ESRX,MDT,CVS,USB,AXP,BA,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-11,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,WFC,CSCO,PFE,BAC,KO,ORCL,T,INTC,MRK,GE,PEP,C,PM,GS,SLB,VZ,MCD,QCOM,OXY,DIS,UPS,COP,AMGN,AMZN,HPQ,HD,MMM,ESRX,MDT,CVS,AXP,USB,BA,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-12,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,CVX,WFC,CSCO,PFE,BAC,KO,ORCL,INTC,T,MRK,GE,PEP,PM,GS,C,SLB,VZ,MCD,QCOM,OXY,DIS,COP,UPS,AMGN,AMZN,HPQ,HD,ESRX,MMM,MDT,CVS,AXP,USB,BA,CMCSA,GILD,BMY,MO,V,ABT,CL"
2010-02-16,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,WFC,BAC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,GS,PM,SLB,VZ,MCD,QCOM,OXY,DIS,COP,UPS,AMGN,HPQ,AMZN,HD,ESRX,MMM,MDT,AXP,CVS,USB,BA,CMCSA,GILD,BMY,MO,V,ABT,CL"
2010-02-17,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,BAC,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,PM,GS,SLB,VZ,MCD,QCOM,OXY,DIS,UPS,COP,AMGN,HPQ,AMZN,HD,ESRX,MDT,MMM,CVS,AXP,BA,USB,CMCSA,GILD,BMY,MO,V,ABT,CL"
2010-02-18,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,BAC,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,PM,GS,SLB,VZ,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,HPQ,AMZN,HD,ESRX,MMM,MDT,CVS,AXP,BA,USB,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-19,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,CVX,BAC,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,PM,GS,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,HPQ,AMZN,HD,ESRX,MMM,MDT,CVS,BA,AXP,USB,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-22,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,PM,GS,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,HPQ,AMZN,HD,ESRX,MDT,MMM,CVS,BA,USB,AXP,CMCSA,GILD,BMY,MO,V,CL,ABT"
2010-02-23,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,HPQ,AMZN,HD,ESRX,MMM,CVS,MDT,USB,BA,CMCSA,AXP,GILD,BMY,MO,V,CL,ABT"
2010-02-24,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMGN,COP,HPQ,AMZN,HD,ESRX,MDT,CVS,MMM,USB,BA,CMCSA,AXP,GILD,BMY,MO,CL,V,ABT"
2010-02-25,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,ORCL,KO,INTC,T,MRK,GE,PEP,C,PM,GS,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,COP,AMGN,HPQ,AMZN,HD,ESRX,MDT,MMM,CVS,USB,BA,CMCSA,AXP,GILD,MO,BMY,CL,V,ABT"
2010-02-26,"XOM,MSFT,WMT,PG,AAPL,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,ORCL,KO,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,OXY,QCOM,DIS,UPS,AMGN,COP,HPQ,ESRX,AMZN,HD,MDT,MMM,USB,CVS,CMCSA,BA,AXP,GILD,BMY,MO,CL,V,ABT"
2010-03-01,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,ORCL,KO,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,OXY,DIS,QCOM,UPS,COP,AMGN,AMZN,HPQ,ESRX,HD,MDT,MMM,CMCSA,CVS,BA,USB,AXP,GILD,MO,BMY,F,CL,V"
2010-03-02,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,BAC,CVX,WFC,CSCO,PFE,ORCL,KO,INTC,MRK,T,GE,PEP,C,GS,PM,VZ,SLB,MCD,OXY,QCOM,DIS,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,MDT,MMM,CVS,CMCSA,BA,USB,AXP,GILD,BMY,MO,CL,F,V"
2010-03-03,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,BAC,WFC,CVX,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,PM,GS,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,COP,AMZN,AMGN,ESRX,HPQ,HD,MDT,MMM,CVS,CMCSA,BA,USB,AXP,GILD,F,MO,BMY,CL,V"
2010-03-04,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CVX,CSCO,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,OXY,DIS,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,MDT,CMCSA,CVS,MMM,BA,USB,AXP,F,GILD,MO,BMY,CL,V"
2010-03-05,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CVX,CSCO,PFE,KO,ORCL,INTC,MRK,T,GE,PEP,C,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,MDT,BA,CMCSA,MMM,CVS,USB,AXP,F,BMY,MO,GILD,V,CL"
2010-03-08,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CSCO,CVX,PFE,KO,ORCL,INTC,T,MRK,GE,PEP,C,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,CMCSA,BA,MDT,MMM,CVS,USB,AXP,F,BMY,MO,V,GILD,CL"
2010-03-09,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CSCO,CVX,PFE,ORCL,KO,INTC,T,MRK,C,GE,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,MDT,MMM,CVS,USB,AXP,BMY,MO,F,GILD,V,CL"
2010-03-10,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,BAC,IBM,WFC,CSCO,CVX,PFE,KO,ORCL,INTC,T,C,MRK,GE,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,MDT,MMM,CVS,USB,AXP,BMY,MO,V,F,GILD,CL"
2010-03-11,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CSCO,CVX,PFE,ORCL,KO,C,INTC,T,MRK,GE,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,MDT,USB,MMM,CVS,AXP,BMY,V,F,GILD,MO,CL"
