date,tickers
2023-12-01,"AAPL,MSFT,GOOG,AMZN,NVDA,META,BRK.B,TSLA,LLY,V,UNH,AVGO,JPM,WMT,MA,XOM,JNJ,PG,ORCL,HD,ADBE,CVX,COST,KO,CRM,BAC,PEP,NFLX,MCD,INTC,ABT,TMUS,AMD,AMGN,DHR,DIS,NKE,QCOM,TXN,CAT,VZ,IBM,NOW,BA,PM,GE,UNP,COP,TMO,INTU"
2024-01-01,"AAPL,MSFT,GOOG,AMZN,NVDA,META,TSLA,BRK.B,LLY,V,JPM,UNH,AVGO,WMT,MA,XOM,JNJ,PG,HD,COST,ORCL,CVX,MRK,ABBV,ADBE,BAC,KO,CRM,AMD,PEP,MCD,NFLX,INTC,ABT,TMUS,INTU,DHR,DIS,NKE,QCOM,TXN,CAT,AMGN,VZ,BA,MS,UNP,NOW,TXN"
2024-02-01,"MSFT,AAPL,GOOG,AMZN,NVDA,META,BRK.B,LLY,TSLA,V,AVGO,JPM,UNH,WMT,MA,XOM,JNJ,PG,HD,COST,MRK,AMD,ABBV,ORCL,CRM,KO,NFLX,ADBE,ABT,MCD,TMO,CSCO,TMUS,DHR,INTU,QCOM,CAT,CMCSA,AMGN,DIS,WFC,VZ,DHR,INTU,TXN,NOW,NKE,UNP,CAT,AMGN"
2024-03-01,"MSFT,AAPL,NVDA,AMZN,GOOG,META,BRK.B,LLY,TSLA,AVGO,V,JPM,WMT,UNH,MA,XOM,JNJ,HD,PG,COST,MRK,AMD,ABBV,ORCL,CRM,KO,NFLX,ADBE,ABT,DIS,TMO,MCD,CSCO,TMUS,DHR,INTU,QCOM,GE,CMCSA,AMAT,CAT,UBER,AXP,NOW,NKE,UNP,TXN,PFE,AMGN,MS"
2024-04-01,"MSFT,AAPL,NVDA,GOOG,AMZN,META,BRK.B,LLY,AVGO,JPM,V,TSLA,WMT,XOM,UNH,MA,PG,JNJ,HD,ORCL,CVX,KO,CRM,AMD,NFLX,PEP,TMO,DIS,ABT,BAC,CVX,CRM,AMD,KO,NFLX,ABT,TMUS,GE,QCOM,INTC,DHR,CAT,INTU,VZ,IBM,CMCSA,AMAT,AXP,TXN,PFE"
2024-05-01,"MSFT,AAPL,NVDA,GOOG,AMZN,META,BRK.B,LLY,AVGO,TSLA,JPM,V,WMT,XOM,UNH,MA,PG,JNJ,HD,ORCL,CVX,KO,CRM,AMD,NFLX,PEP,TMO,DIS,ABT,MCD,CSCO,ACN,QCOM,ABT,DHR,GE,INTU,AXP,CAT,VZ,AMAT,TXN,IBM,PFE,CMCSA,HD,TSLA,CRM,TMO,ADBE"
2024-06-01,"MSFT,AAPL,NVDA,GOOG,AMZN,META,BRK.B,LLY,AVGO,JPM,TSLA,V,WMT,XOM,UNH,MA,PG,HD,ORCL,JNJ,COST,KO,NFLX,CVX,CRM,ADBE,AMD,PEP,TMO,DIS,NVDA,TXN,AMGN,ABT,INTU,GE,CAT,IBM,MS,PFE,AXP,VZ,CSCO,MCD,AMAT,HD,TSLA,CRM,TMO,QCOM"
2024-07-01,"MSFT,AAPL,NVDA,GOOG,AMZN,META,BRK.B,LLY,AVGO,TSLA,JPM,WMT,V,XOM,UNH,MA,PG,ORCL,HD,COST,JNJ,KO,NFLX,CVX,CRM,ADBE,AMD,TMO,PEP,DIS,PFE,WFC,CSCO,DHR,ABT,INTU,AMGN,TXN,GE,IBM,CAT,NOW,MS,ISRG,AXP,PM,BAC,TSLA,QCOM,HD"
2024-08-01,"AAPL,MSFT,NVDA,GOOG,AMZN,META,BRK.B,AVGO,TSLA,LLY,JPM,WMT,XOM,UNH,V,MA,ORCL,JNJ,PG,HD,COST,ABBV,BAC,CVX,KO,NFLX,CRM,HD,AMD,ADBE,TMO,TMUS,QCOM,WFC,DHR,CSCO,MCD,TXN,GE,ABT,INTU,PM,AMGN,IBM,AMAT,PFE,DIS,VZ,CAT,NOW"
2024-09-01,"AAPL,MSFT,NVDA,GOOG,AMZN,META,BRK.B,LLY,AVGO,TSLA,JPM,WMT,UNH,V,XOM,MA,PG,JNJ,COST,ORCL,HD,ABBV,BAC,KO,NFLX,MRK,CVX,CRM,AMD,TMO,ADBE,TMUS,MCD,CSCO,WFC,ABT,TXN,QCOM,DHR,PM,GE,IBM,AXP,AMGN,INTU,NOW,VZ,ISRG,CAT,DIS"
