date,added,removed
2023-12-01,AAPL|ABT|ADBE|AMD|AMGN|AMZN|AVGO|BA|BAC|BRK.B|CAT|COP|COST|CRM|CVX|DHR|DIS|GE|GOOG|HD|IBM|INTC|INTU|JNJ|JPM|KO|LLY|MA|MCD|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|PG|PM|QCOM|TMO|TMUS|TSLA|TXN|UNH|UNP|V|VZ|WMT|XOM,
2024-01-01,ABBV|MRK|MS,COP|GE|IBM|PM|TMO
2024-02-01,CMCSA|CSCO|TMO|WFC,BA|BAC|CVX|INTC|MS|PEP
2024-03-01,AMAT|AXP|GE|MS|PFE|UBER,VZ|WFC
2024-04-01,BAC|CVX|IBM|INTC|PEP|VZ,ABBV|ADBE|AMGN|COST|CSCO|MCD|MRK|MS|NKE|NOW|UBER|UNP
2024-05-01,ACN|ADBE|CSCO|MCD,BAC|INTC|TMUS
2024-06-01,AMGN|COST|MS,ACN|CMCSA|DHR
2024-07-01,BAC|DHR|ISRG|NOW|PM|WFC,AMAT|MCD|VZ
2024-08-01,ABBV|AMAT|MCD|TMUS|VZ,AXP|ISRG|MS|PEP
2024-09-01,AXP|ISRG|MRK,AMAT|PFE
2024-10-01,PEP,ABT|MRK|PM
2024-12-01,ABT|BKNG|GS|MRK|PLTR|RTX,AMD|AXP|GE|WFC
2025-01-01,AMD|GE|PM|PYPL|T|UPS|WFC,AMGN|CAT|DHR|GS|KO|MRK|NOW|RTX|TMUS
2025-02-01,AXP|CAT|GS|KO|MRK|MS|NOW|RTX|TMUS,BKNG|INTU|PYPL|T|TXN|UPS|VZ
2025-03-01,T|TM|TXN,CRM|IBM|MRK|QCOM
2025-04-01,ACN|CRM|INTU|VZ,GOOG|TM|TXN
2025-05-01,IBM,BAC|CRM|JNJ
2025-06-01,CRM|GOOG,ABBV|ADBE|AMD|CAT|RTX
2025-07-01,ABBV|AMD|BAC|BKNG|BX|CAT|JNJ|MRK|RTX|TXN|UBER,DIS|GS|PM|TMO|UNH|WFC
2025-08-01,DIS|GS|SHEL|TMO,ABBV|CSCO|KO|MS|TXN
2025-09-01,ABBV|CSCO|KO|TXN|UNH|WFC,ACN|CRM|CVX|GS|SHEL
2025-10-01,APP|C|CRM|MU|PM,BX|INTU|MRK|T|VZ
2025-11-01,ANET|CVX|GS|LRCX|QCOM|SHOP,BKNG|C|GE|MU|PM|TMUS
2025-12-01,AMAT|AMGN|C|GE|INTC|MS|MU|T,ANET|AXP|GS|NOW|QCOM|RTX|SHOP|UBER
